Page,Row,Line,NO.,Category,Level,City,Height,Chest,Waist,Hips,Suit,Shoes,Skin,Eyes,Hair,advertisement,popularity
65,4,3,N1411704,网拍模特,3,上海,175,86,62,88,0,38,黄色,黑色,長发,ihush网购网站 专属模特 金力士2010饰发表会模特 瑞士巧克力展示模特 F1汽车宝贝 大众车模 薇薇2010年新品婚纱走秀 2010瑞丽旗下品牌鞋新品展示走秀 2010新国际厨具卫浴展展示模特 2010YOKOHAOMA汽车宝贝 2010新国际D+D内页品牌走秀 2010芭莎摄影婚纱秀 2010墨西哥馆时尚秀 2010NOVO时尚秀 2010佳丽宝化妆品展示模特 2010菲士乐厨具展示模特 2010年北纬30度 杭州服装秀 2010年老庙黄金展示模特 2010年中国皮革城皮草秀 2010年宁波时装秀 2011“刘烨”黄金设计新闻见面会 2011车展GMC房车展台 2011上海时装秀闭幕式 2011房车赛 福特车 2011阿迪达斯春季发布会 瘦身平面 古今内衣秀 淘宝平面 外拍 杂志内页,0
65,4,4,G711693,影视模特,3,北京,177,80,60,75,40,42,黄色,黑色,短发,2011年1月拍摄吉野家火锅平面广告 2010年7月 拍摄《数码世界》杂志 2010年 12月拍摄《数码世界》杂志 索尼DV平面广告,0
65,5,1,B211695,广告模特,3,上海,177,83,64,89,0,39,黄色,黑色,長发,,0
65,5,2,N1411715,网拍模特,3,上海,170,88,62,86,0,35,黄色,黑色,長发,,0
65,5,3,C311438,内衣模特,3,深圳,170,84,64,88,0,38,黄色,黑色,長发,,0
65,5,4,B211439,广告模特,3,深圳,187,97,82,100,0,44,黄色,黑色,長发,,0
66,1,1,N1411440,网拍模特,3,深圳,185,97,78,96,0,44,黄色,黑色,長发,,0
66,1,2,C311446,内衣模特,3,成都,167,84,61,86,40,36,黄色,黑色,長发,,0
66,1,3,B211632,广告模特,3,大连,174,84,65,89,34,38,白色,灰色,長发,淘宝爱婚沙服装店模特 小明星免洗搓澡巾系列产品代言人,0
66,1,4,C311891,内衣模特,3,北京,176,96,57,87,40,37,黄色,深啡,長发,,0
66,2,1,C312532,内衣模特,3,北京,170,90,50,92,56,37,黑色,黑色,長发,飘柔洗发水 　　诗恩碧彩妆 　　好友趣薯片 　　卡莱欧珠宝 　　华歌尔内衣 　　三星手机广告,0
66,2,2,G712492,影视模特,3,上海,166,88,63,86,39,36,黄色,黑色,長发,,0
66,2,3,B212482,广告模特,3,沈阳,173,88,63,89,1,39,黄色,黑色,長发,照片,0
66,2,4,A112383,时装模特,3,深圳,175,84,60,88,39,39,黄色,黑色,長发,,0
66,3,1,N1412435,网拍模特,3,长春,166,88,65,86,35,37,白色,黑色,長发,,0
66,3,2,G712353,影视模特,3,广州,165,78,60,86,39,36,黄色,黑色,長发,,0
66,3,3,C312354,内衣模特,3,广州,175,84,63,91,40,39,黄色,黑色,長发,,0
66,3,4,A112385,时装模特,3,上海,177,84,62,89,39,39,黄色,黑色,長发,,0
66,4,1,A112386,时装模特,3,上海,177,84,59,87,39,39,黄色,黑色,長发,,0
66,4,2,A112387,时装模特,3,杭州,178,80,59,87,41,40,黄色,黑色,長发,,0
66,4,3,C312393,内衣模特,3,深圳,180,85,62,90,39,40,黄色,黑色,長发,,0
66,4,4,C312545,内衣模特,3,长沙,174,86,62,94,38,37,黄色,黑色,長发,,0
66,5,1,A112685,时装模特,3,北京,175,84,62,88,0,38,黄色,黑色,長发,2008新光天地百货商场形象代言 2008康师傅酸梅汤 2007背背佳 2006九鑫集团人参牌系列洗化用品形象代言 2005－2006吉野家快餐形象代言 2004-2005惠普形象代言等,0
